,artist_name,track_name,track_id,popularity
649,Dustin Lynch,I'd Be Jealous Too,7rdK9NSJIRBZAiXC0vuBS9,66
650,Dustin Lynch,Where It's At,4whYDpJ5XVQpmvecbEHP5Q,63
651,Dustin Lynch,Cowboys and Angels,5ksoJlQJtduEkwQTo7UN7X,61
652,Dustin Lynch,Mind Reader,2MNapHbu7QASoukvVVIxyr,60
653,Dustin Lynch,Seein' Red,7pxhKtuTwofDIdgHx2DcVK,60
664,Kenny Chesney,Get Along,6n6OQfBpCgzF9oEg8zhBN7,72
665,Kenny Chesney,Here And Now,0NSwXfEWMG7HIRvXioGu03,73
666,Kenny Chesney,American Kids,1dgWTMoHwTUnQhOQ8SR5fV,71
667,Kenny Chesney,All the Pretty Girls,66pxmg3Jhjm09tHoWR1wVR,70
668,Kenny Chesney,Tip of My Tongue,40ufL61vEaDaaOitYhnlQ7,69
669,Kelsea Ballerini,half of my hometown (feat. Kenny Chesney),1yRke3PmsyFrYlFZOAkABk,68
670,David Lee Murphy,Everything's Gonna Be Alright,2NEBP8SXEqwZt2PRdPXXuy,67
671,Kenny Chesney,Guys Named Captain,0xQKwuJHobmJAsQoEXDU6C,56
672,Kenny Chesney,We Do,3vyIxonYVLO85S3vokc86a,51
673,Kenny Chesney,Knowing You,2ik2PrTCnIXjhE1xbPQup5,42
674,Justin Bieber,Intentions,364dI1bYnvamSnBJ8JcNzN,93
676,Justin Bieber,Intentions (feat. Quavo),4umIPjkehX1r7uhmGvXiSV,91
678,Justin Bieber,Yummy,41L3O37CECZt3N7ziG2z7l,90
679,Ed Sheeran,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,87
681,Yung Gravy,Justin Bieber Wrist,1Lg8ayJsmrTHzf619nSugF,58
682,Billie Eilish,bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,81
683,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",1jYiIOC5d6soxkJP81fxq2,69
695,Lil Baby,Close Friends (Lil Baby & Gunna),5nzhL67GpF9szXWg5y509A,77
696,Polo G,Pop Out Again (feat. Lil Baby & Gunna),2VIMXmWUIqhMqg6h5FOFPG,70
697,Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ,72
698,Lil Baby,I Am (Lil Baby & Gunna),3F57PtOdqRpD6euFYqtKXX,62
699,Lil Baby,Business Is Business (Lil Baby & Gunna),7roKDmJDOzkpfGpUQJ5EnL,61
700,Lil Baby,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),6PoKfDY78ih5OveWirggRX,63
701,Lil Baby,Belly (Lil Baby & Gunna),1yQvL8SzbF5JCroRKk9F07,58
702,Gunna,World Is Yours (Lil Baby & Gunna),0p0jvYdazuWBMC8QacxpUH,56
703,Lil Baby,Deep End (Lil Baby & Gunna),16QjPRt5HYK0dnLGmGRCvf,56
704,Jonas Brothers,What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd,89
705,Jonas Brothers,Sucker,22vgEDb5hykfaTwLuskFGD,87
706,Jonas Brothers,Only Human,0DiDStADDVh3SvAsoJAFMk,84
707,Jonas Brothers,Cool,7yfi8B8opXjnRh4VZnOkz9,75
708,Diplo,Lonely (with Jonas Brothers),0prJ6Nafa5rklRc8rZUNSG,69
709,Jonas Brothers,I Believe,1vYh9x8UmFTLbXiizk9Qc5,73
710,Jonas Brothers,Burnin' Up,2VEsmoek0sol9MnJFyoG9e,71
712,Jonas Brothers,S.O.S.,7wNv1WR2f5BSPGvWAz7L5n,2
713,Jonas Brothers,Year 3000,4zP7ADsgJgHGY6VzxbNp1z,69
724,Lil Baby,Grace (feat. 42 Dugg),01JMnRUs2YOK6DDpdQASGY,75
726,42 Dugg,Not Us (feat. Lil Baby & Peewee Longway),42S4yqDnXp1U1xDp2WofTH,44
727,42 Dugg,Not A Rapper,0qnHywpYq7D2SGMpuHEasL,62
729,RoleyGangBlue,"Fuck the City Up (feat. BabyFace Ray, 42 Dugg & Lil B)",6NkAnZjLb3axxBNEIRMYn5,21
